,dataSetName,archiveType,geo_meanLat,geo_meanLon,geo_meanElev,paleoData_variableName,paleoData_units,paleoData_proxy,paleoData_proxyGeneral,time_variableName,compilationName,TSID
445,Asi-PAKI036.Cook.2013,tree,36.15,74.18,3900.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_209
446,Aus-CTPWestTasmania.Allen.2001,tree,-41.67,145.65,550.0,trsgi,,TRW,,year,Pages2kTemperature,Aus_020
447,Asi-SouthChina.Wang.1998,documents,23.0,114.0,2200.0,temperature,index,historic,,year,Pages2kTemperature,Asia_319
448,NAm-DeerMountain.Wiles.2011,tree,55.3,-131.6,815.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_412
449,NAm-FoolCreek.Brown.2005,tree,39.9,-105.9,3370.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_2560
450,NAm-FoolCreek.Brown.2005,tree,39.9,-105.9,3370.0,MXD,,MXD,,year,Pages2kTemperature,NAm_2572
451,NAm-ArrowsmithMountain.Briffa.1996,tree,49.2,-125.2,1020.0,MXD,,MXD,,year,Pages2kTemperature,NAm_1360
452,Asi-PAKI002.Esper.2007,tree,36.03,74.58,5000.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_187
453,Asi-NEPA030.Krusic.2013,tree,27.78,87.27,3200.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_175
454,NAm-RoweLakes.Colenutt.2011,tree,49.0,-114.0,2135.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_2848
455,NAm-MedicineBowPeak.Briffa.1996,tree,41.3,-107.7,3150.0,MXD,,MXD,,year,Pages2kTemperature,NAm_3628
456,NAm-MedicineBowPeak.Briffa.1996,tree,41.3,-107.7,3150.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_3616
457,Asi-MONG010.Jacoby.2013,tree,47.27,100.03,4100.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_157
458,NAm-ConroyLake.Gajewski.1988,lake sediment,46.3,-67.9,140.0,temperature,degC,pollen,,year,Pages2kTemperature,NAm_3807
459,Ocn-OkinawaTrough.Wu.2012,marine sediment,24.8,122.5,-1274.0,temperature,degC,TEX86,,year,Pages2kTemperature,O2kLR_165
460,Asi-GHEGAN.PAGES2k.2013,tree,37.93,101.53,1750.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_047
461,Asi-CHIN056.Shao.2013,tree,34.47,110.08,4900.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_090
462,Asi-CHIN042.Brauning.2013,tree,31.95,98.87,3300.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_217
463,Ocn-XishaIslandSouthChinaSea.Sun.2004,coral,16.85,112.33,-20.0,Sr_Ca,mmol/mol,Sr/Ca,,year,Pages2kTemperature,Ocean2kHR_137
466,NAm-CanyonCreek.Lloyd.2002,tree,63.3,-147.8,884.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_196
467,Asi-CHIN052.Shao.2013,tree,37.45,97.53,2060.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_086
468,Asi-Hushre.PAGES2k.2013,tree,46.78,101.95,3700.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_165
469,NAm-SheepMountain.Graybill.1995,tree,37.2,-118.1,3475.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_664
470,Asi-MTASMD.Davi.2013,tree,43.77,142.55,3780.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_109
471,Eur-Loetschental.Buentgen.2006,tree,46.4,7.8,1700.0,MXD,,MXD,,year,Pages2kTemperature,Eur_018
472,NAm-BellMountain.Schweingruber.1996,tree,53.3,-120.7,1530.0,MXD,,MXD,,year,Pages2kTemperature,NAm_1168
473,Ocn-PedroBankJamaica.Haase-Schramm.2003,sclerosponge,17.5333,-78.95,-125.0,d18O,permil,d18O,,year,Pages2kTemperature,Ocean2kHR_128
474,Ocn-PedroBankJamaica.Haase-Schramm.2003,sclerosponge,17.5333,-78.95,-125.0,Sr_Ca,mmol/mol,Sr/Ca,,year,Pages2kTemperature,Ocean2kHR_129
475,Ocn-SantaBarbaraBasin.Zhao.2000,marine sediment,34.23,-120.02,-590.0,temperature,degC,alkenone,,year,Pages2kTemperature,O2kLR_183
476,Ocn-SouthAtlanticWestAfrica.Leduc.2010,marine sediment,-29.14,16.72,-97.0,temperature,degC,alkenone,,year,Pages2kTemperature,LPDa77273bb
